,city,state_id,state_name,lat,lng,population,airport name,airport id,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Chicago,IL,Illinois,41.8375,-87.6866,8586888,Chicago Midway Airport,MDW,82.6,57,0,9.22,US,2022-07-18
4,Las Vegas,NV,Nevada,36.2333,-115.2654,2165405,Las Vegas Airport,HND,93.58,32,0,9.22,US,2022-07-18
5,Los Angeles,CA,California,34.1141,-118.4068,12531334,Los Angeles Airport,LAX,83.44,74,0,11.5,US,2022-07-18
6,Miami,FL,Florida,25.784,-80.2101,6076316,Miami Airport, MIA,92.01,73,75,14.97,US,2022-07-18
7,New York,NY,New York,40.6943,-73.9249,18680025,John F. Kenned Airport,JFK,83.1,83,75,9.22,US,2022-07-18
11,Orlando,FL,Florida,28.4773,-81.337,1792047,Orlando  Airport,MCO,90.95,65,0,13.8,US,2022-07-18
12,San Francisco,CA,California,37.7558,-122.4449,3557982,San Francisco Airport,SFO ,71.17,82,20,10.36,US,2022-07-18
13,Seattle,WA,Washington,47.6211,-122.3244,3530752,Seattle Airport,SEA,58.6,87,75,7.0,US,2022-07-18
14,Washington,DC,District of Columbia,38.9047,-77.0163,5066973,Washington Regan Airport,DCA,65.89,60,2,6.2,US,2022-07-18
18,Boston,MA,Massachusetts,42.3188,-71.0852,4465966,Boston Airport,BOS,83.07,74,100,9.22,US,2022-07-18
